Date,CMG,CTG,CTS,FPT,HAG,ITD,KDH,MSN,MWG,NLG,NVB,PDR,POT,PVB,PVC,PVD,PVS,VCB,VIC,VNM
2024-01-28,36.216434,35.362976,38.739323,113.4423,13.57463,10.0812435,33.00929,78.84796,52.008698,42.589546,9.947325,26.222692,17.833296,22.227459,14.611792,30.869675,38.54678,62.582268,48.628063,65.22114
2024-01-29,36.516354,35.536488,40.58582,117.299194,13.75965,10.179222,32.84033,79.65393,52.501366,42.418148,10.013777,26.172834,17.385033,22.108698,14.546385,30.786823,38.454575,62.583878,50.231293,65.25789
2024-01-30,36.047424,35.47032,40.707672,117.26053,13.809318,10.120826,32.80684,77.7101,52.798798,42.09258,9.7386055,25.829462,17.97599,22.223396,14.602604,30.906004,38.60767,62.239853,50.813625,65.195465
2024-01-31,36.01793,35.399303,40.957302,118.181854,13.790116,10.10717,32.87561,77.05982,53.158527,42.12624,9.747585,25.991505,18.067062,22.34243,14.668919,31.049303,38.94915,62.309513,51.10377,65.0549
2024-02-01,35.89023,35.249218,40.95079,119.81364,13.860451,10.118808,33.061016,75.39353,52.816277,42.487274,9.768521,25.53277,18.23932,22.542631,14.773771,31.14031,39.5515,62.82791,52.48623,64.86438
2024-02-02,36.0955,34.944817,39.983227,112.49591,13.526528,10.033421,32.90975,75.154625,53.225586,42.302116,9.978652,26.716375,17.997538,22.535278,14.861844,31.234352,39.906147,62.554897,50.429646,64.312935
2024-02-03,35.481148,35.039032,41.8029,111.30804,13.535198,9.976501,33.073486,76.16483,53.288673,43.05796,9.827692,25.720362,18.371168,23.153198,15.313679,32.24606,41.901855,62.064342,51.970783,64.65936
2024-02-04,37.786037,34.212612,41.417236,106.46165,13.528183,9.99374,32.92903,74.656586,51.94781,43.277683,9.6668625,24.87243,17.901127,23.212164,15.390224,32.009922,41.871902,61.657578,51.689186,64.24864
2024-02-05,40.58531,33.70988,40.152134,103.104256,13.363817,9.889518,32.78936,74.20964,52.454437,43.21019,9.514845,24.99176,18.253042,23.073587,15.370932,31.712072,41.805573,62.545986,52.445557,65.36211
2024-02-06,42.521107,33.380566,37.079826,101.52673,13.407275,9.833424,32.378815,72.28104,52.825962,42.568794,9.475636,24.567972,18.269178,23.280575,16.000967,31.294716,41.312687,62.069298,52.671658,64.973434
2024-02-07,43.014633,33.354282,36.805714,99.72892,13.286555,9.824188,32.169064,72.88412,52.975124,42.277744,9.4648,25.120897,18.163754,23.219517,16.13473,31.265556,41.045803,62.159153,52.118393,64.91403
2024-02-08,42.24996,33.32055,37.27256,98.74911,13.286474,9.818596,32.104782,72.992676,52.563858,42.16992,9.539081,24.574425,18.27539,23.154192,16.10521,31.291016,40.96523,62.084534,53.050297,64.7757
2024-02-09,41.319054,33.36932,37.34999,97.82831,13.296197,9.803919,31.955265,72.98623,52.25103,41.917164,9.389844,24.45423,18.298363,23.115522,16.078716,31.317873,40.95184,62.05543,53.25038,64.57251
2024-02-10,44.161457,33.878742,39.188755,98.65344,13.369316,9.749454,31.975393,74.89264,55.381252,41.86202,9.383562,24.823872,18.6175,22.844534,16.063145,31.502094,41.23636,61.78866,53.64353,64.57475
2024-02-11,45.410522,33.661232,38.77543,100.46502,13.500355,9.959804,31.953684,73.46725,54.62608,41.346714,9.508538,23.918957,19.027042,22.526354,15.574026,30.81338,40.688988,61.83237,54.850086,64.4075
