CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CMG,2019,4,0.8298743832,1.0874361332,0.49131612834424504,1.1886824679768897,1.2098770162,4.6184744947,86.47883791564611,25.0577037807,48.4762404624,160.01278215874612,14.5663785953,0.05886970894742078,0.19467147990564979,0.04506650312568009,0.0752679275,0.0762315796,0.0328813965,440738078889.0,87524711439,0.0,1.804085935,0.1600779147,1.6298604297,-4.911609756182607,2.0874361331912055,2864996160900,99999866,20.950442422,1.4981343026,0.5693800234,15.4897692866,670.0284471781192,19123.7861324334,9.3161837897
CMG,2019,3,0.8056305785,1.0916979225,0.5275063063640799,1.145751851045352,1.2496623698,4.510908503,90.96799229213337,18.7218298208,51.622434921,161.31225703393338,19.4959575797,0.06566474074895258,0.18221985239758223,0.037708788434766306,0.0763184421,0.0731281145,0.0302654512,417197974474.0,78007091104,0.0366056572,1.7932165289,0.1247285031,1.6962738231,-6.142448588031905,2.11467293069398,3004995973300,99999866,19.3171388234,1.5813235222,0.6006674659,8.7908061315,447.96595600438104,19003.0689979525,10.1953107978
CMG,2019,2,1.326595653,1.9197033676,0.8132477442618931,0.7259612643041272,1.3970761889,4.7375259546,85.95535191120757,20.274094641,49.6857692377,155.91521578990756,18.0032700085,0.0280302582150078,0.1719019300696298,0.007761864309805385,0.0895544657,0.0860068556,0.0329413406,345759126243.0,31025810830,0.0283505155,1.2700458173,0.1217098537,1.1650574946,-1.5805684203330497,2.9197033675729314,3879994800800,99999866,25.5940123961,3.6454286564,0.7513647643,256.2999810396,85.91374885442346,10643.4671083359,14.797737756
CMG,2019,1,1.1541738487000002,1.7798663536,0.823864026210415,0.7156373036534052,1.498183757,4.9254792175,79.65095237272446,22.3612808302,46.9660324181,148.97826562102446,16.3228574772,0.05137881211404023,0.17558576054805677,0.01308626245551985,0.1131010679,0.1006644003,0.0431204553,362494057714.0,64233815440,0.0290237467,1.2694053721,0.2382696566,1.1513572006,-5.101656880088897,2.722031756417287,2842531305400,75000826,18.8231861925,2.6310535831,0.5404801733,82.7166321197,218.1369518650368,14404.8757668082,10.2790471235
CMG,2018,4,0.7409406665,1.6220553051,0.7785682891847643,0.7198064876835355,1.4761032976,5.4032500503,80.35845223286024,22.2647266486,51.6562673094,154.27944619086026,16.3936438907,0.049404881804217864,0.15750705945738952,0.03252194194117949,0.1043527197,0.1021975934,0.0410278724,371234324176.0,71755498187,0.0,1.1601730823,0.1027404878,1.018119246,-5.284352196862427,2.6220553050928945,2608398602000,72055210,18.9370410447,2.4727857596,0.526349684,9.3467478826,655.535780438361,14639.3596208796,9.3031804761
CMG,2018,3,0.7962063903,1.5791653898,0.8096662700558434,0.6827956205653041,1.5397539369,5.0291434033,77.23395706289065,21.7715569432,47.7005789184,146.70609292449063,16.7649930114,0.04795234400525372,0.15621856547716753,0.031334734601106404,0.1103938536,0.100022131,0.0442388764,352749935741.0,61422581732,0.0641509434,1.1708906709,0.0804810915,1.0400465371,-5.693957714225102,2.541274108660195,1909463065000,72055210,13.5110674229,1.8970106934,0.3880663507,12.113684121,557.03034949173,13969.3466632323,7.995305508
CMG,2018,2,0.0,0.0,0.7979345376813861,0.6813449476436392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04503949054705065,0.16031281512335716,0.031777844365975416,0.0,0.0,0.0,0.0,54146886720,0.0837438424,0.0,0.0,0.0,-5.063895746795521,2.537964936841379,1462720763000,72055210,8.8115398728,1.4423393704,0.2907013702,6.5424109138,530.1991987810458,14074.3575452767,5.0686791707
CMG,2018,1,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.018216021622279862,0.16310972916851058,0.0045025395633673795,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
CMG,2017,4,0.3712199293,1.4586044702,0.6044498876653035,0.666715716833797,1.746074574,7.22988721,61.496963608263414,19.1988516187,39.2864284558,119.98224368276342,19.0115537768,0.0448347028018649,0.15375049333991483,0.03589046569031666,0.1429142398,0.1329221248,0.0616952331,356078315740.0,63540361540,0.0,1.1564669768,0.2162117868,1.0120619563,-8.084301082695822,2.4586044701923497,1872106293400,67341953,10.8311097031,1.8946558534,0.3827029197,9.9676928236,755.3161529782185,14672.8493991702,5.5501535709
CMG,2017,3,0.445417082,1.2160513732,0.6527721574219397,0.6267445133669195,1.8265799678,6.325115648,59.85560630975342,18.6068468638,35.7527385651,114.21519173865343,19.6164348894,0.07133303256292796,0.17243122719527865,0.05237244452113049,0.1398925849,0.1377550932,0.0649416171,343774444731.0,97568828359,0.05,1.1985892272,0.0954410366,1.0456531913,-13.918421637790349,2.2160513731585327,2020258590000,67341953,12.1200345553,2.1896585829,0.4355444983,7.7715877856,1063.7450213390753,13700.7660619376,6.7561581945
