CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
CMG,2024,4,172775742232,171831379516,4738562551,0,-6342055938,24294673274,0,367298301635,142178246783,-20261281892,-9628338169,5400171167,-24294673274,4335122888,9618335100,-12141505916,462504378322,-180863469627,87400000,-922531362400,862440100000,0,0,18570257199,-222297074828,0,-28000000,922145732596,-973547723489,-64558541978,-115988532871,124218770623,536522065195,0,660740835818
CMG,2024,3,86747912680,100115690020,-1075760886,-12139343543,-26222242178,20326909911,0,167753166004,-221635331793,-17867941844,117582777334,57705910203,-16881486359,-10972590003,0,-26658225775,49026277767,-187302894558,0,-629604675342,599934775561,0,0,47166774525,-169806019814,0,-132000000,1150410309899,-941582811002,-57998811,208637500086,87857758039,474869945278,3830389450,566558092767
CMG,2024,2,112524274129,97059610203,527056017,0,-26612169333,18209569564,0,201708340580,-287729313573,-56099538880,353818340558,-90177347367,-18209569564,-22394109932,0,-1424028104,79492773718,-139491950457,0,-465000000000,412964500000,0,0,8610807382,-182916643075,4553000000,-286000000,494000478769,-430553552591,0,67713926178,-35709943179,510579888457,0,474869945278
CMG,2024,1,89366907101,106012929827,6599507269,4491797342,-42180511903,8833733243,0,173124362879,290140196083,65444397950,-355898206653,15193622570,-5603956200,-24214945662,0,-10143997108,148041473859,-39070493377,-151880000,-248251114134,177560627930,0,5734598605,62302671967,-41875589009,14202290000,0,690635049084,-876678618602,-39515332487,-211356612005,-105190727155,608583417327,7187198285,510579888457
CMG,2023,4,174198526087,88259612057,-1577287766,-3320960699,-15841931062,24797266527,0,266515225144,-41441684143,16880496597,223802343000,-27088930287,-19053085082,-2748604243,0,-20698619112,396167141874,-134844114248,151880000,-680059529875,1210444426790,0,-636695426790,11504178354,-229498585769,7181630000,-181000000,664062602630,-526169435195,-88141789834,56752007601,223420563706,393430237680,-8267384059,608583417327
CMG,2023,3,87991961226,87815537271,4312474845,-7905456641,-41310563653,28950678897,0,159854631945,104591118203,29213159507,-286509304174,42407885280,-30777045258,-12076140652,0,-8833687563,-2129382712,5063789512,0,-89078000000,-501695426790,0,636695426790,25826506571,76812296083,-181000000,0,379425528324,-322057056059,-488722803,56698749462,131381662833,253394381756,8654193091,393430237680
CMG,2023,2,109631062821,88078636446,-64581581,858991537,-25137149462,20487444338,0,193854404099,-170996579650,3133853835,70820250406,-34634221826,-24473211982,-6340983435,0,-6294932954,25068578493,-670079172131,0,-247141500000,501695426790,0,0,26145435927,-389379809414,0,0,752302171667,-503903819684,0,248398351983,-115912878938,371043702907,-1736442213,253394381756
CMG,2023,1,55821807691,100615310252,13505239869,282778108,-38993850262,31320110578,0,162551396236,12162798416,-35462946387,-1995895913,-17808988154,-28041065406,-85527292403,0,-8532132081,-2654125692,-65607203416,-106945861,-384910642657,433283382577,0,0,26734576715,9393167358,87481974891,0,608193653529,-697020731969,787109767,-557993782,6181047884,371654425350,-6791770327,371043702907
CMG,2022,4,133047016728,82467048026,-1462743514,-4888037354,-20815052182,25871195744,0,214219427448,-8130095123,154821913646,200436377066,14315417889,-25952866320,52303693892,0,-7781901846,594231966652,-211469540019,106945861,-557783006965,335198813826,0,0,4063496623,-429883290674,-78735932935,0,477503065508,-494027709875,-2297605288,-97558182590,66790493388,298398449381,6465482581,371654425350
CMG,2022,3,107168678064,85497680867,-922335847,4888037354,-29501016786,28074561014,0,195105001374,72149849723,-59616845911,-124796681376,-25487718027,-26329678337,-3064962397,0,-14381561016,13577404033,-87591906052,0,-811223369269,809010354285,0,0,24935409991,-64869511045,78735932935,0,783695447689,-816065169396,-28340788630,18025422598,-33266684414,331602699259,62434536,298398449381
CMG,2022,2,106128382171,62286308612,3489181428,100603292,-20512330523,17992174016,0,169484318996,-166315941119,112102592933,97286549181,-95883349194,-14082596005,-25265212944,0,-7835953442,69490408406,-37887019958,0,-135711515490,229224372606,0,0,43224083255,98849920413,0,0,264146135424,-443738848810,-7839191760,-187431905146,-19091576327,350756710122,-62434536,331602699259
CMG,2022,1,57737368407,63978586691,24036248673,2072077754,-13173471420,16380419681,0,151031229786,99954786264,-14571993259,-120333324326,34950178012,-23402918193,-39255524634,0,-5370748899,83001684751,-289391467903,-8780480936,-384763057948,453208357861,-161025829311,0,15538538457,-375213939780,0,0,1429662900936,-1178961306171,1738312864,252439907629,-39772347400,390114138218,414919304,350756710122
CMG,2021,4,124848009763,56978935762,-18236567905,-13906731,-34759328925,19186588816,0,148003730780,-149266159002,-170423867768,402793663743,-38624444603,-11535726557,0,0,-8897626036,172049570557,-232681582105,7325597640,-413089737339,348148697106,0,0,31956800201,-258340224497,0,0,414694647800,-268591932767,-1161510903,144941204130,58650550190,331737649510,-274061482,390114138218
CMG,2021,3,113026959235,58324154906,290789791,214417494,-32111513654,17702554318,0,157447362090,10530829201,-28846742818,177763308583,-18766955991,-18135939889,7061601784,0,-2707790434,284345672526,-139763245835,1927008508,-344631313098,329968109840,0,0,-4803784442,-157303225027,0,0,365653598216,-439917607875,-438684205,-74702693864,52339753635,279571022096,-173126221,331737649510
CMG,2021,2,73126747335,55571374099,1937943393,248216428,-25509004491,17482399080,0,122857675844,-84873770852,-13986963152,128489605434,-25859129685,-15054280723,-17942613746,0,-6479789687,87150733433,-110541873341,0,-242600000000,234301664508,0,0,32329818485,-86510390348,0,0,230919642530,-110041475684,-257509121,120620657725,121261000810,158177369944,132651342,279571022096
CMG,2021,1,59750567274,64035783906,7183276248,3049786594,-33187471274,12017039237,0,112848981985,21559093614,-33363667674,-57650997821,1211732785,-19358549911,-17426955332,0,-4245170772,3574466874,-127191609899,1074187564,-426987139090,426363998851,0,0,-34043451251,-160784013825,0,0,499578980252,-539666442463,-7072234192,-47159696403,-204369243354,362121297295,425316003,158177369944
